Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
1,0.786,0.103,0.382,0.941,0.83437,1.00000,0.97378,0.88598,0.2
2,0.780,0.110,0.333,0.941,0.84583,0.99754,0.97284,0.88596,0.2
3,0.783,0.105,0.339,0.947,0.85521,0.99756,0.97558,0.88759,0.2
4,0.788,0.107,0.339,0.943,0.86875,0.99640,0.96871,0.88459,0.2
5,0.780,0.108,0.337,0.941,0.86771,1.00000,0.96399,0.88752,0.3
6,0.788,0.106,0.368,0.947,0.88229,0.99646,0.96801,0.88265,0.3
7,0.794,0.104,0.199,0.943,0.88542,0.99765,0.96344,0.88277,0.3
8,0.793,0.104,0.336,0.948,0.88958,0.99297,0.97524,0.88369,0.3
9,0.793,0.107,0.406,0.944,0.85833,0.99393,0.96581,0.88567,0.3
10,0.788,0.105,0.350,0.943,0.87708,0.99762,0.97143,0.88528,0.3
